Optimization started at Mon Nov 25 15:54:35 2024
Iteration 401 | Energy: -238.86819521963932
Iteration 402 | Energy: -238.86819521958387
Iteration 403 | Energy: -238.86819521946364
Iteration 404 | Energy: -238.86819521966476
Iteration 405 | Energy: -239.00520510885144
Iteration 406 | Energy: -239.0052051088176
Iteration 407 | Energy: -239.00520510747037
Iteration 408 | Energy: -239.00520510922505
Iteration 409 | Energy: -239.00520510856023
Iteration 410 | Energy: -239.00520510925585
Iteration 411 | Energy: -239.00520510867577
Iteration 412 | Energy: -239.0052051096364
Iteration 413 | Energy: -239.00520510901552
Iteration 414 | Energy: -239.0052051084084
Iteration 415 | Energy: -239.00520510880526
Iteration 416 | Energy: -239.0052051088602
Iteration 417 | Energy: -239.00520510884735
Iteration 418 | Energy: -239.00520510878601
Iteration 419 | Energy: -239.00520510882865
Iteration 420 | Energy: -239.00520510883524
Iteration 421 | Energy: -239.00520510885286
Iteration 422 | Energy: -239.00520510851683
Iteration 423 | Energy: -239.00520510912332
Iteration 424 | Energy: -239.00520510889547
Iteration 425 | Energy: -239.0052051090153
Iteration 426 | Energy: -239.00520510922038
Iteration 427 | Energy: -239.005205108541
Iteration 428 | Energy: -239.00520510929366
Iteration 429 | Energy: -239.0052051089478
Iteration 430 | Energy: -239.00520510890271
Iteration 431 | Energy: -239.0052051089177
Iteration 432 | Energy: -239.00520510862214
Iteration 433 | Energy: -239.00520510880852
Iteration 434 | Energy: -239.005205109021
Iteration 435 | Energy: -239.00520510985902
Iteration 436 | Energy: -239.00520510886128
Iteration 437 | Energy: -239.00520510885178
Iteration 438 | Energy: -239.00520510894867
Iteration 439 | Energy: -239.00520510875918
Iteration 440 | Energy: -239.0052051088924
Iteration 441 | Energy: -239.0052051083127
Iteration 442 | Energy: -239.0052051085751
Iteration 443 | Energy: -239.00520510849066
Iteration 444 | Energy: -239.00520510882131
Iteration 445 | Energy: -239.00520510897488
Iteration 446 | Energy: -239.00520510951839
Iteration 447 | Energy: -239.00520511021276
Iteration 448 | Energy: -239.0052051081511
Iteration 449 | Energy: -239.0052051090755
Iteration 450 | Energy: -239.00520510878383
Iteration 451 | Energy: -239.0052051082666
Iteration 452 | Energy: -239.00520510811728
Iteration 453 | Energy: -239.0052051089186
Iteration 454 | Energy: -239.00520510890775
Iteration 455 | Energy: -239.0052051087038
Iteration 456 | Energy: -239.00520510885082
Iteration 457 | Energy: -239.00520510883484
Iteration 458 | Energy: -239.00520510888137
Iteration 459 | Energy: -239.00520510887537
Iteration 460 | Energy: -239.00520510933086
Iteration 461 | Energy: -239.0052051084505
Iteration 462 | Energy: -239.00520510882015
Iteration 463 | Energy: -239.00520510842335
Iteration 464 | Energy: -239.00520510879417
Iteration 465 | Energy: -239.00520510893952
Iteration 466 | Energy: -239.00520510898085
Iteration 467 | Energy: -239.00520510876132
Iteration 468 | Energy: -239.0052051094737
Iteration 469 | Energy: -239.0052051094826
Iteration 470 | Energy: -239.00520510799146
Iteration 471 | Energy: -239.0052051086558
Iteration 472 | Energy: -239.00520510876999
Iteration 473 | Energy: -239.00520510886275
Iteration 474 | Energy: -239.00520510923945
Iteration 475 | Energy: -239.0052051085516
Iteration 476 | Energy: -239.00520510885138
Iteration 477 | Energy: -239.0052051088449
Iteration 478 | Energy: -239.00520510886642
Iteration 479 | Energy: -239.00520510886517
Iteration 480 | Energy: -239.0052051088623
