Optimization started at Thu Nov 28 12:41:17 2024
Iteration 438 | Energy: -237.70966735367938
Iteration 439 | Energy: -237.70966735365505
Iteration 440 | Energy: -237.7096673536854
Iteration 441 | Energy: -237.72731801685765
Iteration 442 | Energy: -237.72731801703458
Iteration 443 | Energy: -237.72731801693038
Iteration 444 | Energy: -237.72731801664654
Iteration 445 | Energy: -237.72731801704992
Iteration 446 | Energy: -237.72731801709676
Iteration 447 | Energy: -237.72731801741907
Iteration 448 | Energy: -237.72731801698785
Iteration 449 | Energy: -237.72731801675351
Iteration 450 | Energy: -237.72731801685507
Iteration 451 | Energy: -237.72731801675653
Iteration 452 | Energy: -237.72731801668976
Iteration 453 | Energy: -237.72731801688718
Iteration 454 | Energy: -237.72731801680462
Iteration 455 | Energy: -237.72731801677946
Iteration 456 | Energy: -237.72731801675107
Iteration 457 | Energy: -237.7273180169225
Iteration 458 | Energy: -237.72731801691404
Iteration 459 | Energy: -237.727318017162
Iteration 460 | Energy: -237.72731801682826
Iteration 461 | Energy: -237.72731801681408
Iteration 462 | Energy: -237.72731801681644
Iteration 463 | Energy: -237.72731801685765
Iteration 464 | Energy: -237.72731801689335
Iteration 465 | Energy: -237.72731801697344
Iteration 466 | Energy: -237.72731801669778
Iteration 467 | Energy: -237.72731801663267
Iteration 468 | Energy: -237.72731801664747
Iteration 469 | Energy: -237.72731801669835
Iteration 470 | Energy: -237.72731801673558
Iteration 471 | Energy: -237.72731801736825
Iteration 472 | Energy: -237.72731801686243
Iteration 473 | Energy: -237.72731801682698
Iteration 474 | Energy: -237.72731801686822
Iteration 475 | Energy: -237.72731801683804
Iteration 476 | Energy: -237.72731801690918
Iteration 477 | Energy: -237.72731801682465
Iteration 478 | Energy: -237.72731801673166
Iteration 479 | Energy: -237.7273180167384
Iteration 480 | Energy: -237.72731801718038
Iteration 481 | Energy: -237.7273180167274
Iteration 482 | Energy: -237.72731801720596
Iteration 483 | Energy: -237.7273180163522
Iteration 484 | Energy: -237.72731801685765
Iteration 485 | Energy: -237.7273180168567
Iteration 486 | Energy: -237.7273180168576
Iteration 487 | Energy: -237.72731801685094
Iteration 488 | Energy: -237.72731801686018
Iteration 489 | Energy: -237.7273180168565
Iteration 490 | Energy: -237.73862245975243
Iteration 491 | Energy: -237.7386224599042
Iteration 492 | Energy: -237.73862245975624
Iteration 493 | Energy: -237.73862245957096
Iteration 494 | Energy: -237.7386224599325
Iteration 495 | Energy: -237.7386224598629
Iteration 496 | Energy: -237.73862245994644
Iteration 497 | Energy: -237.73862245986086
Iteration 498 | Energy: -237.73862245965583
Iteration 499 | Energy: -237.7386224597437
Iteration 500 | Energy: -237.73862245969767
Iteration 501 | Energy: -237.73862245956855
Iteration 502 | Energy: -237.73862245967322
Iteration 503 | Energy: -237.7386224597279
Iteration 504 | Energy: -237.7386224596505
Iteration 505 | Energy: -237.73862245964298
Iteration 506 | Energy: -237.7386224597734
Iteration 507 | Energy: -237.7386224599315
Iteration 508 | Energy: -237.7386224592777
Iteration 509 | Energy: -237.7386224597281
Iteration 510 | Energy: -237.7386224597274
Iteration 511 | Energy: -237.73862245973336
Iteration 512 | Energy: -237.73862245974544
Iteration 513 | Energy: -237.73862245977077
Iteration 514 | Energy: -237.7386224595873
Iteration 515 | Energy: -237.73862245959947
Iteration 516 | Energy: -237.73862245953657
Iteration 517 | Energy: -237.73862245953262
Iteration 518 | Energy: -237.73862245970767
Iteration 519 | Energy: -237.7386224596821
Iteration 520 | Energy: -237.7386224593359
Iteration 521 | Energy: -237.73862245975664
Iteration 522 | Energy: -237.73862245973464
Iteration 523 | Energy: -237.73862245976397
Iteration 524 | Energy: -237.73862245974365
Iteration 525 | Energy: -237.73862245978057
Iteration 526 | Energy: -237.7386224597313
Iteration 527 | Energy: -237.73862245966106
Iteration 528 | Energy: -237.73862245961826
Iteration 529 | Energy: -237.73862246001
Iteration 530 | Energy: -237.7386224596354
Iteration 531 | Energy: -237.73862245978233
Iteration 532 | Energy: -237.73862246019854
Iteration 533 | Energy: -237.73862245975238
Iteration 534 | Energy: -237.7386224597519
Iteration 535 | Energy: -237.73862245975508
Iteration 536 | Energy: -237.73862245974667
Iteration 537 | Energy: -237.7386224597565
Iteration 538 | Energy: -237.73862245975025
Iteration 539 | Energy: -237.74693441662262
Iteration 540 | Energy: -237.74693441674714
Iteration 541 | Energy: -237.74693441660753
Iteration 542 | Energy: -237.74693441647318
Iteration 543 | Energy: -237.74693441675697
Iteration 544 | Energy: -237.7469344165754
Iteration 545 | Energy: -237.74693441659548
Iteration 546 | Energy: -237.74693441672463
Iteration 547 | Energy: -237.7469344165414
Iteration 548 | Energy: -237.74693441661552
Iteration 549 | Energy: -237.7469344165801
Iteration 550 | Energy: -237.746934416552
Iteration 551 | Energy: -237.74693441665568
Iteration 552 | Energy: -237.7469344165925
Iteration 553 | Energy: -237.7469344165486
Iteration 554 | Energy: -237.74693441655037
Iteration 555 | Energy: -237.74693441661503
Iteration 556 | Energy: -237.74693441666247
Iteration 557 | Energy: -237.7469344163893
Iteration 558 | Energy: -237.74693441660398
Iteration 559 | Energy: -237.74693441662188
Iteration 560 | Energy: -237.74693441662973
Iteration 561 | Energy: -237.74693441661742
Iteration 562 | Energy: -237.74693441661725
Iteration 563 | Energy: -237.74693441641665
Iteration 564 | Energy: -237.74693441648125
Iteration 565 | Energy: -237.74693441645414
Iteration 566 | Energy: -237.74693441648822
Iteration 567 | Energy: -237.74693441668106
Iteration 568 | Energy: -237.7469344166928
Iteration 569 | Energy: -237.7469344163882
Iteration 570 | Energy: -237.74693441662635
Iteration 571 | Energy: -237.74693441661327
Iteration 572 | Energy: -237.74693441663572
Iteration 573 | Energy: -237.74693441662018
Iteration 574 | Energy: -237.74693441661995
Iteration 575 | Energy: -237.74693441663172
Iteration 576 | Energy: -237.7469344165562
Iteration 577 | Energy: -237.74693441648827
Iteration 578 | Energy: -237.7469344166235
Iteration 579 | Energy: -237.74693441652818
Iteration 580 | Energy: -237.74693441657908
Iteration 581 | Energy: -237.74693441689806
Iteration 582 | Energy: -237.74693441662265
Iteration 583 | Energy: -237.74693441662188
Iteration 584 | Energy: -237.74693441662208
Iteration 585 | Energy: -237.7469344166221
Iteration 586 | Energy: -237.746934416622
Iteration 587 | Energy: -237.7469344166239
Iteration 588 | Energy: -237.75388619034982
Iteration 589 | Energy: -237.75388619041064
Iteration 590 | Energy: -237.75388619029948
Iteration 591 | Energy: -237.75388619030988
Iteration 592 | Energy: -237.7538861904003
Iteration 593 | Energy: -237.75388619034035
Iteration 594 | Energy: -237.7538861901692
Iteration 595 | Energy: -237.75388619043028
Iteration 596 | Energy: -237.75388619032165
Iteration 597 | Energy: -237.75388619035542
Iteration 598 | Energy: -237.7538861903684
Iteration 599 | Energy: -237.753886190407
Iteration 600 | Energy: -237.7538861904455
Iteration 601 | Energy: -237.75388619030437
Iteration 602 | Energy: -237.75388619028422
Iteration 603 | Energy: -237.75388619030704
Iteration 604 | Energy: -237.75388619034888
